v.x,v.y,v.z,n.x,n.y,n.z
-0.054758599,0.209815683,0.976206369,-0.054758599,0.209815683,0.976206369
-0.054945151,0.26786414,0.96188868,-0.054945151,0.26786414,0.96188868
0,0.35062917,0.936514381,0,0.35062917,0.936514381
-0.054945151,0.26786414,0.96188868,-0.054945151,0.26786414,0.96188868
0,0.294120991,0.955768195,0,0.294120991,0.955768195
0,0.294120991,0.955768195,0,0.294120991,0.955768195
-0.054945151,0.26786414,0.96188868,-0.054945151,0.26786414,0.96188868
-0.054758599,0.209815683,0.976206369,-0.054758599,0.209815683,0.976206369
-0.2169937,0.125280748,0.968100443,-0.2169937,0.125280748,0.968100443
-0.163458451,0.154069649,0.974445421,-0.163458451,0.154069649,0.974445421
-0.164764847,0.213120433,0.963032827,-0.164764847,0.213120433,0.963032827
-0.110811014,0.298728887,0.947882889,-0.110811014,0.298728887,0.947882889
-0.164764847,0.213120433,0.963032827,-0.164764847,0.213120433,0.963032827
-0.110260746,0.240940629,0.964256284,-0.110260746,0.240940629,0.964256284
-0.109312671,0.182283087,0.977150764,-0.109312671,0.182283087,0.977150764
-0.110260746,0.240940629,0.964256284,-0.110260746,0.240940629,0.964256284
-0.163458451,0.154069649,0.974445421,-0.163458451,0.154069649,0.974445421
-0.163458451,0.154069649,0.974445421,-0.163458451,0.154069649,0.974445421
-0.110260746,0.240940629,0.964256284,-0.110260746,0.240940629,0.964256284
-0.164764847,0.213120433,0.963032827,-0.164764847,0.213120433,0.963032827
-0.110811014,0.298728887,0.947882889,-0.110811014,0.298728887,0.947882889
-0.110260746,0.240940629,0.964256284,-0.110260746,0.240940629,0.964256284
-0.055510396,0.325293681,0.943982318,-0.055510396,0.325293681,0.943982318
0,0.35062917,0.936514381,0,0.35062917,0.936514381
-0.055510396,0.325293681,0.943982318,-0.055510396,0.325293681,0.943982318
-0.054945151,0.26786414,0.96188868,-0.054945151,0.26786414,0.96188868
-0.109312671,0.182283087,0.977150764,-0.109312671,0.182283087,0.977150764
-0.054945151,0.26786414,0.96188868,-0.054945151,0.26786414,0.96188868
-0.110260746,0.240940629,0.964256284,-0.110260746,0.240940629,0.964256284
-0.110260746,0.240940629,0.964256284,-0.110260746,0.240940629,0.964256284
-0.054945151,0.26786414,0.96188868,-0.054945151,0.26786414,0.96188868
-0.055510396,0.325293681,0.943982318,-0.055510396,0.325293681,0.943982318
0,0.2365646,0.971615763,0,0.2365646,0.971615763
-0.054758599,0.209815683,0.976206369,-0.054758599,0.209815683,0.976206369
-0.052607497,0.149287349,0.987393406,-0.052607497,0.149287349,0.987393406
-0.104655577,0.060422607,0.992671305,-0.104655577,0.060422607,0.992671305
-0.052607497,0.149287349,0.987393406,-0.052607497,0.149287349,0.987393406
-0.107186799,0.121582742,0.986776888,-0.107186799,0.121582742,0.986776888
-0.109312671,0.182283087,0.977150764,-0.109312671,0.182283087,0.977150764
-0.107186799,0.121582742,0.986776888,-0.107186799,0.121582742,0.986776888
-0.054758599,0.209815683,0.976206369,-0.054758599,0.209815683,0.976206369
-0.054758599,0.209815683,0.976206369,-0.054758599,0.209815683,0.976206369
-0.107186799,0.121582742,0.986776888,-0.107186799,0.121582742,0.986776888
-0.052607497,0.149287349,0.987393406,-0.052607497,0.149287349,0.987393406
-0.204871441,-0.118282641,0.971615618,-0.204871441,-0.118282641,0.971615618
-0.155590769,-0.029084657,0.987393334,-0.155590769,-0.029084657,0.987393334
-0.209085509,-0.057485996,0.976206233,-0.209085509,-0.057485996,0.976206233
-0.212518629,0.003525364,0.977150656,-0.212518629,0.003525364,0.977150656
-0.209085509,-0.057485996,0.976206233,-0.209085509,-0.057485996,0.976206233
-0.158887538,0.032034558,0.986776843,-0.158887538,0.032034558,0.986776843
-0.104655577,0.060422607,0.992671305,-0.104655577,0.060422607,0.992671305
-0.158887538,0.032034558,0.986776843,-0.158887538,0.032034558,0.986776843
-0.155590769,-0.029084657,0.987393334,-0.155590769,-0.029084657,0.987393334
-0.155590769,-0.029084657,0.987393334,-0.155590769,-0.029084657,0.987393334
-0.158887538,0.032034558,0.986776843,-0.158887538,0.032034558,0.986776843
-0.209085509,-0.057485996,0.976206233,-0.209085509,-0.057485996,0.976206233
-0.2169937,0.125280748,0.968100443,-0.2169937,0.125280748,0.968100443
-0.215157979,0.064523556,0.974445358,-0.215157979,0.064523556,0.974445358
-0.163458451,0.154069649,0.974445421,-0.163458451,0.154069649,0.974445421
-0.109312671,0.182283087,0.977150764,-0.109312671,0.182283087,0.977150764
-0.163458451,0.154069649,0.974445421,-0.163458451,0.154069649,0.974445421
-0.16177955,0.093402996,0.982396691,-0.16177955,0.093402996,0.982396691
-0.212518629,0.003525364,0.977150656,-0.212518629,0.003525364,0.977150656
-0.16177955,0.093402996,0.982396691,-0.16177955,0.093402996,0.982396691
-0.215157979,0.064523556,0.974445358,-0.215157979,0.064523556,0.974445358
-0.215157979,0.064523556,0.974445358,-0.215157979,0.064523556,0.974445358
-0.16177955,0.093402996,0.982396691,-0.16177955,0.093402996,0.982396691
-0.163458451,0.154069649,0.974445421,-0.163458451,0.154069649,0.974445421
-0.109312671,0.182283087,0.977150764,-0.109312671,0.182283087,0.977150764
-0.16177955,0.093402996,0.982396691,-0.16177955,0.093402996,0.982396691
-0.107186799,0.121582742,0.986776888,-0.107186799,0.121582742,0.986776888
-0.104655577,0.060422607,0.992671305,-0.104655577,0.060422607,0.992671305
-0.107186799,0.121582742,0.986776888,-0.107186799,0.121582742,0.986776888
-0.158887538,0.032034558,0.986776843,-0.158887538,0.032034558,0.986776843
-0.212518629,0.003525364,0.977150656,-0.212518629,0.003525364,0.977150656
-0.158887538,0.032034558,0.986776843,-0.158887538,0.032034558,0.986776843
-0.16177955,0.093402996,0.982396691,-0.16177955,0.093402996,0.982396691
-0.16177955,0.093402996,0.982396691,-0.16177955,0.093402996,0.982396691
-0.158887538,0.032034558,0.986776843,-0.158887538,0.032034558,0.986776843
-0.107186799,0.121582742,0.986776888,-0.107186799,0.121582742,0.986776888
-0.707106725,-0.408248463,0.577350216,-0.707106725,-0.408248463,0.577350216
-0.67601079,-0.390295208,0.625043248,-0.67601079,-0.390295208,0.625043248
-0.703701715,-0.32625213,0.631160395,-0.703701715,-0.32625213,0.631160395
-0.693519685,-0.241113817,0.678892166,-0.693519685,-0.241113817,0.678892166
-0.703701715,-0.32625213,0.631160395,-0.703701715,-0.32625213,0.631160395
-0.669649469,-0.306782262,0.67635363,-0.669649469,-0.306782262,0.67635363
-0.64250562,-0.370950979,0.670508687,-0.64250562,-0.370950979,0.670508687
-0.669649469,-0.306782262,0.67635363,-0.669649469,-0.306782262,0.67635363
-0.67601079,-0.390295208,0.625043248,-0.67601079,-0.390295208,0.625043248
-0.67601079,-0.390295208,0.625043248,-0.67601079,-0.390295208,0.625043248
-0.669649469,-0.306782262,0.67635363,-0.669649469,-0.306782262,0.67635363
-0.703701715,-0.32625213,0.631160395,-0.703701715,-0.32625213,0.631160395
-0.653281124,-0.064713319,0.754344722,-0.653281124,-0.064713319,0.754344722
-0.676658695,-0.15365345,0.720085847,-0.676658695,-0.15365345,0.720085847
-0.636653889,-0.131900838,0.759785493,-0.636653889,-0.131900838,0.759785493
-0.616957835,-0.198452565,0.761563923,-0.616957835,-0.198452565,0.761563923
-0.636653889,-0.131900838,0.759785493,-0.636653889,-0.131900838,0.759785493
-0.656430963,-0.220183085,0.721538495,-0.656430963,-0.220183085,0.721538495
-0.693519685,-0.241113817,0.678892166,-0.693519685,-0.241113817,0.678892166
-0.656430963,-0.220183085,0.721538495,-0.656430963,-0.220183085,0.721538495
-0.676658695,-0.15365345,0.720085847,-0.676658695,-0.15365345,0.720085847
-0.676658695,-0.15365345,0.720085847,-0.676658695,-0.15365345,0.720085847
-0.656430963,-0.220183085,0.721538495,-0.656430963,-0.220183085,0.721538495
-0.636653889,-0.131900838,0.759785493,-0.636653889,-0.131900838,0.759785493
-0.568753367,-0.328370075,0.754117167,-0.568753367,-0.328370075,0.754117167
-0.594287903,-0.264047705,0.75967144,-0.594287903,-0.264047705,0.75967144
-0.606710622,-0.350284717,0.7135845,-0.606710622,-0.350284717,0.7135845
-0.64250562,-0.370950979,0.670508687,-0.64250562,-0.370950979,0.670508687
-0.606710622,-0.350284717,0.7135845,-0.606710622,-0.350284717,0.7135845
-0.632800295,-0.286089072,0.719525419,-0.632800295,-0.286089072,0.719525419
-0.616957835,-0.198452565,0.761563923,-0.616957835,-0.198452565,0.761563923
-0.632800295,-0.286089072,0.719525419,-0.632800295,-0.286089072,0.719525419
-0.594287903,-0.264047705,0.75967144,-0.594287903,-0.264047705,0.75967144
-0.594287903,-0.264047705,0.75967144,-0.594287903,-0.264047705,0.75967144
-0.632800295,-0.286089072,0.719525419,-0.632800295,-0.286089072,0.719525419
-0.606710622,-0.350284717,0.7135845,-0.606710622,-0.350284717,0.7135845
-0.64250562,-0.370950979,0.670508687,-0.64250562,-0.370950979,0.670508687
-0.632800295,-0.286089072,0.719525419,-0.632800295,-0.286089072,0.719525419
-0.669649469,-0.306782262,0.67635363,-0.669649469,-0.306782262,0.67635363
-0.693519685,-0.241113817,0.678892166,-0.693519685,-0.241113817,0.678892166
-0.669649469,-0.306782262,0.67635363,-0.669649469,-0.306782262,0.67635363
-0.656430963,-0.220183085,0.721538495,-0.656430963,-0.220183085,0.721538495
